abbreviation,expanded_form,category
CC Engrs,Commander Corps Engineers,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CC Log,Commander Corps Logistics,general
CC Sigs,Commander Corps Signals,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CCBO,Corps Counter-Bombardment Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CCD,Camouflage Combat Dress,general
CCO,Crossing Control Officer,general
CCO,Crossing Control Organisation,general
CCP,Casualty Car Post,general
CCS,Casualty Clearing Station,general
CCW,Certain Conventional Weapons,ammunition
CD,Central Discussion,general
CD,Circle of Damage,ammunition
CD,Civil Defence,general
CD,Class Dicussion,general
CD,Class Discussion,general
CD,Compact Disc,general
CD,Compact Disch,general
CD Log,Commander Division Logistics,general
Cd R,Command Reserves,general
cdo,Commando,general
Cdr,Commander,RANKS
Cdre,Commodore,RANKS
Cdt,Cadet,RANKS
CE,Chief Engineer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CE,Composition exploding,ammunition
CEO,Cantonment Executive Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CEP,Circular Error Probable,ammunition
cert,Certificate,general
cert,Certified,general
cert,Certify,general
CFA,Competent Financial Authority,general
CFA,Competent Financial Authority,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CFI,Chief Flying Instructor,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CFL,Cease Fire Line,general
cfm,Confirm,general
cfm,Confirmation,general
cfm,Confirmed,general
cfn,Craftsman,general
Cfn,Craftsman,RANKS
cfn,Craftsmen,general
CGO,Civil Gazetted Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CGS,Chief of General Staff,STAFF AND APPTS
char,Character,general
char,characteristics,general
CHEM,Chemical,ammunition
Chf Tech,Chief Technician,RANKS
CHGE,Charge,ammunition
CHGR,Rifle Charger Packed,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
CHGR (CHE),Charger Chinese,ammunition
CHM,Company Havildar Major,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CHQ,Company Headquarters,general
CI,Chief Instructor,general
CI,Chief Instructure,general
CI,Counter Intellignece,general
CI,Counter-Intelligence,general
CI (Navy),Chief Inspector (Navy),STAFF AND APPTS
CIA,Chief Inspectorate of Armament,general
CILB,Compensation in Lieu of Bearer,general
CILQ,Compensation In Lieu of Quarter,general
CIV,Certificate Issue Voucher,general
civ,Civil,general
civ,Civilian,general
civ GT coy,Civil General Transport Company,general
CJCSC,Chairman Joint Chiefs of Staff Committee,STAFF AND APPTS
ck,Cook,general
ck,Cooked,general
ck,Cooker,general
ck,Cooking,general
cl,Centilitre,general
CL,Centre Line,general
cl,Class,general
cl,Classification,general
cl,Classified,general
cl,Classify,general
CL,Confinement to Lines,general
CLEARING,Clearing,ammunition
CLGP,Cannon Launched Guided Projectile,ammunition
clk,Clerk,general
CLN,Colon (in messages only),general
clo,Clothing,general
CLS,Chief of Logistics Staff,general
CLS,Chief of Logistics Staff,STAFF AND APPTS
clt,Concealment,general
cm,Centimetre,general
CM,Counter Master,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CMA,Controller of Military Accounts,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CMA (O),Controller of Military Accounts (Officers),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CMES,Commander Military Engineering Services,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CMH,Combined Military Hospital,general
CMI,Corps of Military Intelligence,general
CMM,Comma (in messages only),general
CMP,Corps of Military Police,general
cmpn,Compassion,general
cmpn,Compassionate,general
cmt,commit,general
cmt,commited,general
cmt,commiting,general
cmt,Commitment,general
CMT&SD,Central Mechanical Transport and Stores Depot,general
CNS,Chief of Naval Staff,STAFF AND APPTS
CNS Sectt,Chief of Naval Staff Secretariat,STAFF AND APPTS
CNSTR,Canister,ammunition
cny,Convoy,general
CO,Commanding Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
COAS,Chief of Army Staff,STAFF AND APPTS
COAS Sectt,Chief of Army Staff Secretariat,STAFF AND APPTS
COC,Combat Operation Centre,general
COD,Central Ordnance Depot,general
Col,Colonel,RANKS
colm,Column,general
comb,combination,general
comb,Combine,general
comb,Combined,general
comcen,Communication centre,general
Comd,Aviation Command,STAFF AND APPTS
comd,Command,general
comd,Commanded,general
comd,Commander,general
comd,Commanding,general
Comd HQ,Command Headquarters,STAFF AND APPTS
Comdt,Commandant,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
COMKAR,Commander Karachi,STAFF AND APPTS
COMLOG,Commander Logistics,STAFF AND APPTS
comm,Communicate,general
comm,Communicated,general
comm,communication,general
Comm Z,Communication Zone,general
commint,Communication Intelligence,general
COMNOR,Commander North,STAFF AND APPTS
comp,component,general
comp,Composite,general
COMPAK,Commander Pakistan Fleet,STAFF AND APPTS
compen,Compensate,general
compen,Compensation,general
composn,Composition,general
con,Control,general
con,Controling,general
con,Controlled,general
con,Controller,general
conc,Concentrate,general
conc,Concentrated,general
conc,concentration,general
conc A,Concentration Area,general
concl,Conclude,general
concl,Concluded,general
concl,Conclusion,general
concl,Conclusive,general
conf,Conference,general
confd,Confidence,general
confd,Confidential,general
confd,Confidentiality,general
CONIF,Coniferous,ammunition
conjunc,Conjunction,general
consd,Consider,general
consd,Consideration,general
consd,Considered,general
consd,Considering,general
const,Construct,general
const,Constructed,general
const,Construction,general
consy,Conservancy,general
cont,Continuation,general
cont,Continue,general
cont,Continued,general
contam,Contaminate,general
contam,Contaminated,general
contam,Contamination,general
COO,Chief Ordnance Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
coop,Cooperate,general
coop,Cooperated,general
coop,Cooperation,general
coop,Cooperative,general
coord,Co-ordination,general
coord,Coordinate,general
coord,Coordinated,general
coord,Coordinating,general
coord,Coordinator,general
COP,Change of Posture,general
CORD,Cordite,ammunition
Corn,Correction,general
CORO,Central Officers Record Office Arms Branch,STAFF AND APPTS
CORO,Central Officers’ Record Office,general
corr,Corrigendum,general
corres,Correspondence,general
COS,Chief of Staff,STAFF AND APPTS
COS,Chief of Staff,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
coy,Company,general
CP,Check Post,general
CP,Command Post,general
CP,Contact Point,general
Cpl,Corporal,RANKS
CPO,Chief Petty Officer,RANKS
CPO,Command Post Officer,general
cpt,Computation,general
cpt,Compute,general
cpt,Computed,general
cpt,Computing,general
cptr,Computer,general
CQB,Close Quarter Battle,general
CQMH,Company Quartermaster Havildar,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
CR,Casualty Return,general
CR,Corps Reserves,general
CRACK NOISE,Crackers Noise Production,TABLE V – PYROTECHNICS
CRH,Calibre radius head,ammunition
CRV,Certificate Receipt Voucher,general
crypto,Cryptographer,general
crypto,Cryptographic,general
CS,Close Support,general
CSAM,Chloro sulphonic acid mixture,ammunition
CSD,Canteen Stores Department,general
cslt,Consult,general
cslt,Consultant,general
cslt,Consultation,general
CSM,Corps Subedar Major,general
CSO,Chief Security Officer,general
CTC,Certified True Copy,general
CTC,Counter Terrorism Course,general
CTE,Certified True Extract,general
ctgy,Contingency,general
CTN,Carton,ammunition
ctr,Counter,general
ctr sign,Countersign,general
ctr sign,Countersignature,general
ctr sign,Countersigned,general
ctr sign,Countersigning,general
cty,Country,general
cu,Cubic,general
CV,Command Vehicle,general
CV,Concession Voucher,general
CVD,Central Vehicle Depot,general
cvy,Convey,general
cvy,Conveyance,general
cvy,Conveyed,general
cvy,Conveying,general
CW,Chemical Warfare,general
CW,Continuous Wave,general
cwt,Hundredweight,general
Cycle/Loop,Cycle/Loop,general
CZ,Combat Zone,general
D map,Digital Map,general
D pt,Dispersal point,general
D* FUZ* CHG PROP M* PRI D*,propellants M* Primer,TABLE II – FIELD ARTILLERY AMMUNITION
DA,Daily Allowance,general
DA,Defence Attache,general
DA,Direct action,ammunition
DA,Dispersal Area,general
DAA,Divisional Administrative Area,general
DAA&QMG,Deputy Assistant Adjutant and Quartermaster General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DAAG,Deputy Assistant Adjutant General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DAFOFA,Defence Against Follow on Force Attack,general
DAI,Director of Air Intelligence Flight Safety,STAFF AND APPTS
DAPS (C),Deputy Assistant Private Secretary (Chief),STAFF AND APPTS
DAPS (V),Deputy Assistant Private Secretary (Vice Chief),STAFF AND APPTS
DAQMG,Deputy Assistant Quartermaster General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DASB,District Armed Services Board,general
DASB,District Armed Services Board,STAFF AND APPTS
DBL STAR,Double Star,ammunition
DBS,Divisional Battle School,general
DC,Defence Counsel,STAFF AND APPTS
DCAS (Admin),Deputy Chief of Air Staff (Administration),STAFF AND APPTS
DCAS (Engg),Deputy Chief of Air Staff (Engineering),STAFF AND APPTS
DCAS (P),Deputy Chief of Air Staff (Personnel),STAFF AND APPTS
DCAS (Trg),Deputy Chief of Air Staff (Training),STAFF AND APPTS
DCB,Ditch Cum Bund,general
DCBO,Divisional Counter-Bombardment Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DCC,Defence Committee of the Cabinet,STAFF AND APPTS
DCM,District Court Martial,general
DCNS (O),Deputy Chief of Naval Staff (Operations),STAFF AND APPTS
DCNS (S),Deputy Chief of Naval Staff (Supply),STAFF AND APPTS
DCNS (Tech),Deputy Chief of Naval Staff (Technical),STAFF AND APPTS
DCNS (Trg & P),Deputy Chief of Naval Staff (Training & Personnel),STAFF AND APPTS
DCO,Dispersal Control Officer,general
DCO,Dispersal Control Organisation,general
DCOAS,Deputy Chief of Army Staff,STAFF AND APPTS
DDCB,Double Ditch Cum Bund,general
DDNA (FS),Deputy Director Naval Aviation (Flight Safety),STAFF AND APPTS
DDNA (Ops),Deputy Director Naval Aviation (Operations),STAFF AND APPTS
dec,Decrease,general
dec,Decreased,general
decen,Decentralisation,general
decen,Decentralise,general
decen,Decentralised,general
decen,Decentralising,general
DECID,Deciduous,ammunition
decontam,Decontaminate,general
decontam,Decontaminated,general
decontam,Decontamination,general
def,Defence,general
def,Defend,general
def,Defended,general
def,Defensive,general
Def A/S/Z,Defence Area/Sector/Zone,general
deg,Degree,general
del,Deliver,general
del,Delivered,general
del,Delivery,general
DELAY,Delay,ammunition
demo,Demonstrate,general
demo,Demonstrated,general
demo,Demonstration,general
dep,Depart,general
dep,Departed,general
dep,Departure,general
dep,Depot,general
dep,Depoted,general
dep,Depoture,general
depl,Deploy,general
depl,Deployed,general
depl,Deployment,general
dept,Department,general
dept,Departmental,general
desp,Despatch,general
desp,Despatched,general
desp,Despatcher,general
desp,Despatching,general
det,Detach,general
det,Detached,general
det,Detachment,general
DET,Detonator,ammunition
DETASSYPI MKI,Det Assy P1 MKI for Mine Anti Pers P1 MKI,TABLE VIII — MINES
dev,Develop,general
dev,Developed,general
dev,Development,general
DEW,Director Electronic Warfare,STAFF AND APPTS
DF,Defensive Fire,general
DF,Direction Finding,general
DFA,Deputy Financial Adviser,STAFF AND APPTS
DFA,Draft For Approval,general
DFGEI,Director Federal Government,STAFF AND APPTS
Dfr/Hav,Daffadar/Havildar,RANKS
dft,"Deficient, Deficiency",general
DG Air Int,Director General Air Intelligence Air Defence,STAFF AND APPTS
DG Arty,Director General Artillery,STAFF AND APPTS
DG Avn,Director General Army Aviation,STAFF AND APPTS
DG Budget,Director General Budget,STAFF AND APPTS
DG Engrs,Director General Engineers,STAFF AND APPTS
DG Housing,Director General Housing,STAFF AND APPTS
DG Inf,Director General Infantry,STAFF AND APPTS
DG Log,Director General Logistics,STAFF AND APPTS
DG Ops & Plans,Director General Operations & Plans,STAFF AND APPTS
DG Ord,Director General Ordnance,STAFF AND APPTS
DG Qtg & Lands,Director General Quartering & Lands,STAFF AND APPTS
DG W&CE (Army),Director General Works and Chief Engineers (Army),STAFF AND APPTS
DGAC,Director General Armoured Corps,STAFF AND APPTS
DGAD,Director General Air Defence,STAFF AND APPTS
DGC4I,C4I Director General,STAFF AND APPTS
DGCA,Director General Civil Aviation,STAFF AND APPTS
DGD&E,Director General Doctrine and Evaluation,STAFF AND APPTS
DGDCI,Director General Defence Complex Islamabad,STAFF AND APPTS
DGDP,Director General Defence Purchases,STAFF AND APPTS
DGEME,Director General Electronic and Mechanical Engineers,STAFF AND APPTS
DGFMC,Director General Foreign Mutual Cooperation,STAFF AND APPTS
DGHRD,Director General Human Resources,STAFF AND APPTS
DGISI,Director General Inter Services Intelligence,STAFF AND APPTS
DGISPR,Director General Inter Services Public Relations,STAFF AND APPTS
DGITD,Director General Inspection and Technical Development,STAFF AND APPTS
DGJI & IO,Director General Joint Intelligence & Information Operation,STAFF AND APPTS
DGJO,Director General Joint Operations,STAFF AND APPTS
DGJS,Director General Joint Staff,STAFF AND APPTS
DGJW & Trg,Director General Joint Warfare & Training,STAFF AND APPTS
DGMI,Director General Military Intelligence,STAFF AND APPTS
DGMO,Director General Military Operations,STAFF AND APPTS
DGMP,Director General Munition Production,STAFF AND APPTS
DGMS,Director General Medical Services,STAFF AND APPTS
DGMT,(incl AS Dte),STAFF AND APPTS
DGNG,Director General National Guard,STAFF AND APPTS
DGNI,Director General Naval Intelligence,STAFF AND APPTS
DGNLC,Director General National Logistics Cell,STAFF AND APPTS
DGNPP,Director General Naval Ports and Projects,STAFF AND APPTS
DGO&M,Director General Organizations and Methods,STAFF AND APPTS
DGP (Army),Director General Procurement Army,STAFF AND APPTS
DGPA,Director General Personnel Administration,STAFF AND APPTS
DGPP&A,"Director General Pay, Pensions and Accounts",STAFF AND APPTS
DGPS & PM,Director General Personnel Services and Provost Marshal,STAFF AND APPTS
DGRV&F,"Director General Remounts, Veterinary and Farms",STAFF AND APPTS
DGS&T,Director General Supply and Transport,STAFF AND APPTS
DGSD,Director General Staff Duties,STAFF AND APPTS
DGW&E,Director General Weapons and Equipment,STAFF AND APPTS
DGW&R,Director General Welfare and Rehabilitation,STAFF AND APPTS
DGZ,Desired Ground Zero,general
DGZ,Desired Ground Zero,ammunition
DI,Dangerously Ill,general
dia,Diameter,general
DIESO,Diesel Fuel,general
DIESO,Diesel Oil,general
diff,Difference,general
diff,Different,general
dir,Direct,general
dir,Directed,general
dir,Directing,general
dir,Direction,general
dir,Director,general
Dir (Prot),Director Protocol,STAFF AND APPTS
Dir CP,Director Civilian Personnel,STAFF AND APPTS
Dir MS (Navy),Director Medical Services (Navy),STAFF AND APPTS
Dir Ormara Harbour Project,Director Ormara Harbour Project,STAFF AND APPTS
Dir Regs,Director Regulations,STAFF AND APPTS
Dir Regs,Directorate Regulations,STAFF AND APPTS
Dir Sig,Director Signal,STAFF AND APPTS
disadv,Disadvantage,general
disadv,Disadvantageous,general
disch,Discharge,general
disch,Discharged,general
discp,Disciplinary,general
discp,Discipline,general
discp,Disciplined,general
disposn,Disposition,general
dist,Distance,general
dist,District,general
distr,Distribute,general
distr,Distributed,general
distr,Distribution,general
disty,Distributary,general
div,Division,general
div,Divisional,general
DM,Defence Minister,STAFF AND APPTS
DMA,Daily Messing Allowance,general
dml,Demolish,general
dml,Demolished,general
dml,Demolition,general
DML,Demolition,ammunition
DML&C,Director Military Lands and Cantonments,STAFF AND APPTS
DNA (Ops),Director Naval Aviation (Operations),STAFF AND APPTS
DNI (Ops),Director Naval Intelligence (Operations),STAFF AND APPTS
DNO,Director Naval Operations,STAFF AND APPTS
DO,Demi-Official,general
DO,Dental Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DOB,Date of Birth,general
DOC,Date of Commission,general
docu,Document,general
docu,Documentary,general
docu,Documentation,general
DOE,Date of Enrolment,general
DOP,Date of Promotion,general
DOS,Date of Seniority,general
DP,Delivery Point,general
DP-ICM,Dual Purpose Improved Conventional Munitions,ammunition
DPC,Data Processing Cell,general
DPO,Data Processing Officer,general
DR,Despatch Rider,general
DS,Direct Support,general
DS,Directing Staff,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
DS,Discarding sabot,ammunition
DS 6 PR 7 PRAC DSSV,SV Practice,TABLE I – TANK AND ANTI-TANK AMMUNITION
DS Def,Deputy Secretary Defence,STAFF AND APPTS
DSC,Director Chief of Army Staff Cell,STAFF AND APPTS
DSD (A),Director Staff Duties (A),STAFF AND APPTS
DSD (B),Director Staff Duties (B),STAFF AND APPTS
DSD (C),Director Staff Duties (C),STAFF AND APPTS
DSG,Defence Services Guard,general
DSG Corps,Defence Services Guard Corps,STAFF AND APPTS
DSIC,Defence Service Identity Card,general
DSM,Division Subedar Major,general
DSO,Director Submarine (Operations),STAFF AND APPTS
DSOP Fund,Defence Services Officers’ Provident Fund,general
dte,Directorate,general
Dte Gen ISI,Directorate General Inter Services Intelligence,STAFF AND APPTS
dtmn,Draughtsman,general
dtmn,Draughtsmen,general
DUAL,Dual purpose,ammunition
dupl,Duplicate (d),general
dupl,Duplicating,general
dupl,Duplication,general
dvr,Driver,general
DW,Desert Warfare,general
DW,Director of Works,general
DW,Director of Works,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
dy,Deputy,general
Dy CI (Navy),Deputy Chief Inspector (Navy),STAFF AND APPTS
Dy Dir Regs,Deputy Director Regulations,STAFF AND APPTS
Dy IGC&IT,Deputy Inspector General,STAFF AND APPTS
Dy JAG,Deputy Judge Advocate General,STAFF AND APPTS
Dy Naval Secy,Deputy Naval Secretary,STAFF AND APPTS
Dy QMG,Deputy Quartermaster General,STAFF AND APPTS
DZ,Dropping Zone,general
E wng,Early Warning,general
E-,Extended Short Range Air Defence,general
E-in-C,Engineer-in-Chief,STAFF AND APPTS
e.g.,For Example,general
EARO,Extra Assistant Recruiting Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ECA,Extra Curricular Activities,general
ECB,Engineer Construction Battalion,general
ECCM,Electronic Counter Countermeasures,general
ECM,Electronic Countermeasures,general
eco,Economic,general
eco,economist,general
ECP,Equipment Collecting Point,general
edn,Education,general
EEI,Essential Elements of Information,general
eff,Effect,general
eff,Effected,general
eff,Effective,general
eff,Effectively,general
eff,Effectiveness,general
EJEC,Ejection,ammunition
elec,Electric,general
ELEC,Electric,ammunition
elec,Electrician,general
elec,Electricity,general
elm,"Element (s), Elementary",general
emb,Embark,general
emb,Embarkation,general
emb,Embarked,general
EME,Corps of Electrical and Mechanical Engineers,general
EME,Electrical and Mechanical Engineers (Corps of),general
EMER,Electrical and Mechanical Engineering Regulation,general
EMER,Emergency,ammunition
EMIS,Emission,ammunition
EMP,Electro-magnetic Pulse,ammunition
emp,Employ,general
emp,Employed,general
emp,Employment,general
en,Enemy,general
encl,Enclose,general
encl,Enclosed,general
encl,Enclosure,general
engr,Engineer,general
engrep,Engineer Report,general
Engrs,Corps of Engineers,general
enrl,Enrol,general
enrl,Enrolled,general
ENT,"Ear, Nose and Throat (as applied to medicine)",general
envmt,Environment,general
envmt,Environmental,general
EO,Early Offensive,general
EOD,Explosive & Ordnance Disposal,general
eqpt,Equipment,general
ERE,Extra Regimental Employment,general
ERFB,Extended Range Full Bore,ammunition
ERFB/BB,Extended Range Full Bore Base Bleed,ammunition
ERFB/HB,Extended Range Full Bore Hollow Base,ammunition
ESD,Engineer Stores Depot,general
ESM,Electronic Support Measures,general
ESP,Engineer Support Plan,general
est,Estimate,general
est,Estimated,general
est,estimation,general
estb,Establish,general
estb,Established,general
estb,Establishment,general
ETA,Estimated Time of Arrival,general
etc,Etcetera,general
ETD,Estimated Time of Departure,general
evac,Evacuate,general
evac,Evacuated,general
evac,Evacuation,general
eval,Evaluate,general
eval,Evaluated,general
eval,Evaluating,general
eval,Evaluation,general
EW,Electronic Warfare,general
EWR,Early Warning Radar,general
ex,Exercise,general
ex,Exercised,general
exam,Examination,general
exam,Examine,general
exam,Examined,general
exch,Exchange,general
excl,Exclude,general
excl,Excluded,general
excl,Excluding,general
excl,Exclusive,general
exec,Execute,general
exec,Executed,general
exec,Execution,general
exec,Executive,general
exp,Expenditure,general
exp,Expense,general
exp,Expenses,general
expd,Expedite,general
expd,Expedited,general
expl,Explode,general
expl,Exploded,general
expl,Explosion,general
expl,Explosive,general
EXPLO,Explosive,ammunition
EXPO,Exposed,ammunition
EXPR,Exploder,ammunition
Extended Range Full,Cartridges 155 MM HE DDB01 Bore Hollow Base,TABLE II – FIELD ARTILLERY AMMUNITION
extn,(ed),general
extn,(ed)ing,general
extn,"Extension, extend",general
F,Fighter (aeroplane),general
F Div,2. Finance Division,STAFF AND APPTS
F ech,Fighting Echelon,general
F in Z,Follow in Zone,general
F Mix,Fuming Mixture,ammunition
F of F,Field of Fire,general
F of M,Fulminate of Mercury,ammunition
FA (A),Financial Adviser (Air Force),STAFF AND APPTS
FA (Army),Financial Adviser (Army),STAFF AND APPTS
FA (N),Financial Adviser (Navy),STAFF AND APPTS
FAA,Forward Assembly Area,general
FAADC,Forward Army Air Defence Centre,general
FAARP,Forward Area Arming and Refuelling Point,general
FAC,Forward Air Controller,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
FAD,Forward Ammunition Depot,general
FAP,For Approval Please,general
fawc,Fellow of Air War Course,MILITARY QUALIFICATIONS
fax,Facsimile,general
FBMH,Forward Bridge Marshalling Harbour,general
FC,Frontier Corps,general
FCE,Fire Control Equipment,general
FCI,Fire Control Instrument,general
FCMA,Field Controller of Military Accounts,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
FCNA,Force Command Northern Area,general
FCO,Fire Control Order,general
FCPO,Fleet Chief Petty Officer,RANKS
FCR,Fire Control Radar,general
fd,Field,general
FDL,Forward Defended Locality,general
FF,"Frontier Force Regiment’s battalion, e.g. 5",general
FFE,Fire for Effect,general
Fg Offr,Flying Officer,RANKS
FGA,Fighter Ground Attack,general
FGCM,Field General Court Martial,general
fig,Figure,general
fin,Finance,general
fin,Finances,general
fin,Financial,general
fin,Financially,general
FIP,For Information Please,general
FIRE DEV M1 BLACK,minute delay Black,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 BLUE,1-1/2 hour delay Blue Firing Device,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 GREEN,1-1/2 hour delay Green,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 PULL,Pull,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 RED,minute delay Red,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 REL,Release,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 WHITE,hour delay White,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1 YELLOW,1-1/2 hour delay Yellow,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M1A1 PRESS,M1A1 Pressure,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M2 PULL,M2 Pull,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M3 PULL/REL,M3 Pull/Release Firing Device,TABLE VI – DEMOLITION EXPLOSIVES AND
FIRE DEV M5 PRESS/REL,M5 Pressure/Release,TABLE VI – DEMOLITION EXPLOSIVES AND
FIU,Field Intelligence Unit,general
FLAR,Flare,ammunition
FLAR TRIP,Flares Trip Wire,TABLE V – PYROTECHNICS
FLAT,Flat-Head,ammunition
FLAT,flat-head,TABLE I – TANK AND ANTI-TANK AMMUNITION
FLIR,Forward Looking Infra-Red Radar,general
flk,Flank,general
flk,Flanked,general
flk,Flanking,general
FLOT,Forward Line of Own Troops,general
flt,Flight,general
Flt Cdt,Flight Cadet,RANKS
Flt Lt,Flight Lieutenant,RANKS
FM,Field Marshal,RANKS
FM,Frequency Modulated/Modulation,general
FM LT (BRDT),(Brandt) Complete,TABLE IV – MORTAR AMMUNITION
FM LT PLGD (BRDT),(Brandt) Plugged,TABLE IV – MORTAR AMMUNITION
fmn,Formation,general
FN,Forenoon,general
FO,Fire Order,general
FOB,Forward Observation Base,general
FOL,Fire Order Line,general
fol,Follow,general
fol,Followed,general
fol,Following,general
FOO,Forward Observation Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
FOP,For Orders Please,general
FOR RPG-7 (RUSS),Launcher Grenade RPG-7 (Russian),TABLE VII — GRENADES
FOR RPG-7 (RUSS),with fuze VP-7 for Launcher Grenade RPG-7 (Russian),TABLE VII — GRENADES
FP,Finish Point,general
FP,Firing Point,general
FP,Flank Protection,general
FPO,Field Pay Office,general
FPO,Field Post Office,general
freq,Frequency,general
FRIC,Friction,ammunition
FRMH,Forward Raft Marshalling Harbour,general
FS,Field Security,general
FS,Field Service,general
fsc,Foreign Staff Course,MILITARY QUALIFICATIONS
fsc (A),Australian Staff Course,MILITARY QUALIFICATIONS
fsc (B),Bangladesh Staff Course,MILITARY QUALIFICATIONS
fsc (C),Canadian Staff Course,MILITARY QUALIFICATIONS
fsc (E),Egyptian Staff Course,MILITARY QUALIFICATIONS
fsc (F),French Command and Staff Course,MILITARY QUALIFICATIONS
fsc (G),German Command and Staff Course,MILITARY QUALIFICATIONS
fsc (I),Indonesian Command and Staff Course,MILITARY QUALIFICATIONS
fsc (Ir),Iranian Staff Course,MILITARY QUALIFICATIONS
fsc (J),Japanese Cammand and General Staff Course,MILITARY QUALIFICATIONS
fsc (Jo),Jordanian Staff Course,MILITARY QUALIFICATIONS
fsc (M),Malaysian Staff Course,MILITARY QUALIFICATIONS
fsc (S),Syrian Staff Course,MILITARY QUALIFICATIONS
fsc (SA),Saudi Command and Staff Course,MILITARY QUALIFICATIONS
fsc (T),Turkish Staff Course,MILITARY QUALIFICATIONS
fsc (UK),"Army Staff Course Div III, UK",MILITARY QUALIFICATIONS
fsc (US),US Army Command and General Staff Course,MILITARY QUALIFICATIONS
FSH,Flag Staff House,general
FSMO,Field Service Marching Order,general
FSO,Field Security Officer,STAFF AND APPTS
FSP,Fire Support Plan,general
FSR,Field Service Regulation,general
ft,feet,general
FT,Firing Table,general
ft,Foot,general
ftsc (UK),"Army Staff Course Div I & II, UK",MILITARY QUALIFICATIONS
FTT,Field Transfusion Team,general
FULL,Full Charge,ammunition
func,Function,general
func,Functional,general
FUP,Forming Up Place,general
FUS,Fuse,ammunition
FUZ,Fuze,ammunition
FUZ,Fuze* Red Yellow Smoke BE Blue,TABLE IV – MORTAR AMMUNITION
FUZ,No*,TABLE I – TANK AND ANTI-TANK AMMUNITION
FUZ (CHE),Type* (Chinese),TABLE I – TANK AND ANTI-TANK AMMUNITION
FUZ MINE ATK ND M30,Fuze Mine Anti-Tank ND M30,TABLE VIII — MINES
FUZ MINE ATK ND M5,Fuze Mine Anti-Tank ND M5 (Belgium),TABLE VIII — MINES
FUZ MINE ATK ND MI-,Fuze Mine Anti-Tank Non-,TABLE VIII — MINES
FUZ MINE ATK No 1,Fuze Mine Anti-Tank No 1 MK1 for MK1 Mines Atk MIP,TABLE VIII — MINES
FUZ MINE CONTACT,Fuze Mines Contact Anti-Tank No,TABLE VIII — MINES
FW,Fixed Wing,general
FW,Frontier Warfare,general
fwc,Foreign War Course,MILITARY QUALIFICATIONS
fwc (T),Turkish Armed Forces War Course,MILITARY QUALIFICATIONS
fwc (U),US Army War Course,MILITARY QUALIFICATIONS
FWO,Frontier Works Organisation,general
FY,Financial Year,general
G (Br),General Staff (Branch),general
G (Int),General Staff (Intelligence),general
G (Matters),General Staff (Matters),general
G (Ops),General Staff (Operations),general
G (Staff),General Staff (Staff),general
