abbreviation,expanded_form,category
7 POINT 9 BALL,Cartridges SA Ball 7.9 MM BERNO,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 9 BALL BDR,Cartridges SA Ball 7.9 MM BERNO Rifle Bandolier Packed,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 9 BALL CTN,Cartridges SA Ball 7.9 MM BERNO Rifle Carton Packed,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92,Cartridges SA Ball/Tracer/Armour,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92 AP BESA,Cartridges SA Armour Piercing 7.92 MM (all marks) BESA,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92 BALL,Cartridges SA Ball 7.92 MM (all,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92 BALL TRA,Cartridges SA Ball/Tracer 7.92 MM,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92 INCDY,Cartridges SA Incendiary 7.92 MM,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
7 POINT 92 TRA,Cartridges SA Tracer 7.92 MM (all,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
75 MM AP,AP,TABLE II – FIELD ARTILLERY AMMUNITION
75 MM HE SUPER* FUZ,HE Super Charge Fuze No*,TABLE II – FIELD ARTILLERY AMMUNITION
75 MM PR HE * FUZ (CHE),HE with Fuze* (Chinese),TABLE II – FIELD ARTILLERY AMMUNITION
75 MM RR HEAT,HEAT P1 Mk1 Fuzed*,TABLE II – FIELD ARTILLERY AMMUNITION
75 MM RR HEAT* FUZ (CHE),HEAT with Fuze (Chinese),TABLE II – FIELD ARTILLERY AMMUNITION
75 MM SMK EMIS,Smoke Emission,TABLE II – FIELD ARTILLERY AMMUNITION
76 MM HE RED* FUZ,HE Reduced Charge Fuzed*,TABLE I – TANK AND ANTI-TANK AMMUNITION
76 MM PAC* FUZ,APC-T Fuzed*,TABLE I – TANK AND ANTI-TANK AMMUNITION
81 MM MOR HE HY,HE 14 lbs Heavy (Brandt),TABLE IV – MORTAR AMMUNITION
81 MM MOR HE HY (BRDT),HE 14 lbs Heavy (Brandt) Complete,TABLE IV – MORTAR AMMUNITION
81 MM MOR HE LT,HE 7 lbs Light (Brandt),TABLE IV – MORTAR AMMUNITION
81 MM MOR HE LT (BRDT),HE 7 lbs Light (Brandt) Complete,TABLE IV – MORTAR AMMUNITION
81 MM MOR SMK,Smoke FM 7 lbs Light,TABLE IV – MORTAR AMMUNITION
81 MM MOR WP LT,Smoke WP 7 lbs Light,TABLE IV – MORTAR AMMUNITION
83 MM PRIM RKT 83 MM,Primer Percussion Rocket,TABLE IX – ROCKETS AND GUIDED MISSILES
85 MM APC (CHE),APC/T (Chinese),TABLE I – TANK AND ANTI-TANK AMMUNITION
85 MM HE RED*,HE Reduced charge Fuze,TABLE I – TANK AND ANTI-TANK AMMUNITION
85 MM HE* FUZ (CHE),HE Full charge Fuze Type* (Chinese),TABLE I – TANK AND ANTI-TANK AMMUNITION
A,Acting or assistant (both with abbreviated titles),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
A (Br),Adjutant General’s (Branch),general
A (Matters),Adjutant General’s (Matters),general
A (PA),Personnel Administration,general
A (PS),Personnel Services,general
A (Staff),Adjutant General’s (Staff),general
A hel op,Anti-helicopter borne Operation,general
A pers,Anti-personnel,general
A Sup,Air Supply,general
A tk,Anti-Tank,general
a/m,Above mentioned,general
a/n,above named,general
a/n,Above noted,general
a/q,Above quoted,general
a/r,Above referred,general
AA,Above Average,general
AA&QMG,Assistant Adjutant and Quartermaster General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AAC,Army Aviation Corps,general
AAD,Army Air Defence,general
AADC,Army Air Defence Centre,general
AADC,Army Air Defence Commander,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AADC,Army Air Defence Corps,general
AADM,Active Air Defence Measures,general
AAM,Air to Air Missile,general
AAO,Air Assault Operation,general
AATO,Army Air Transport Organisation,general
AAX,Anti-Aircraft Executive,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AB,Able Seaman,RANKS
AB,Airborne,general
AB,Airborne,ammunition
ABOP,Airborne Observation Post,general
ABP,All Burnt Point,ammunition
abvn,Abbreviation,general
ac,Aircraft,general
AC,Aircraftman,RANKS
AC,Armoured Corps,general
ACAS (Air Def),Assistant Chief of Air Staff (Air Defence),STAFF AND APPTS
ACAS (FS),Assistant Chief of Air Staff (Flight Safety),STAFF AND APPTS
ACAS (Ops),Assistant Chief of Air Staff (Operations),STAFF AND APPTS
ACAS (Plans),Assistant Chief of Air Staff (Plans),STAFF AND APPTS
ACBO,Assistant Counter-Bombardment Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
accn,Accommodation,general
ACCO,Assistant Crossing Control Officer,general
acct,Account,general
acct,Accountant,general
acct,Accounted,general
acct,Accounting,general
ack,Acknowledge,general
ack,Acknowledged,general
ack,Acknowledgement,general
acln,Acclimatisation,general
acln,acclimatising,general
ACNS (Admin),Assistant Chief of Naval Staff (Administration),STAFF AND APPTS
ACNS (B&M),Assistant Chief of Naval Staff (Budget & Maintenance),STAFF AND APPTS
ACNS (Maint),Assistant Chief of Naval Staff (Maintenance),STAFF AND APPTS
ACNS (O),Assistant Chief of Naval Staff (Operations),STAFF AND APPTS
ACNS (P),Assistant Chief of Naval Staff (Personnel),STAFF AND APPTS
ACNS (Plans),Assistant Chief of Naval Staff (Plans),STAFF AND APPTS
ACNS (S),Assistant Chief of Naval Staff (Supply),STAFF AND APPTS
ACNS (Tech),Assistant Chief of Naval Staff (Technical),STAFF AND APPTS
ACNS (Trg),Assistant Chief of Naval Staff (Training),STAFF AND APPTS
ACNS (Works),Assistant Chief of Naval Staff (Works),STAFF AND APPTS
ACR,Annual Confidential Report,general
ACSO,Assistant Chief Security Officer,general
ACT,Air Control Team,general
ACV,Armoured Command Vehicle,general
AD,Air Defence,general
ADA,Air Defence Alert,general
ADC,Aide-de-Camp,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ADC,Army Dental Corps,general
ADCO,Assistant Dispersal Control Officer,general
addl,Additional,general
addn,Addition,general
addsd,Addressed,general
adjt,Adjutant,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
adm,Administration,general
adm,administrative,general
adm,administratively,general
Adm,Admiral,RANKS
ADM,Atomic Demolition Munitions,ammunition
Adm A,Administrative Area,general
Adm Comd,Administrative Command,STAFF AND APPTS
Adm O,Administrative Order,general
ADMS,Assistant Director Medical Services,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ADOC,Air Defence Operations Centre,general
ADOS,Assistant Director Ordnance Services,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ADPS,Automated Data Processing System,general
ADS,Advance Dressing Station,general
ADS,Advance Dressing Stations,general
adsc,Gunnery Staff Course (Air Defence),MILITARY QUALIFICATIONS
adv,Advance,general
adv,Advanced,general
adv,Advancing,general
adv,Advantage,general
adv,Advantageous,general
adym,Aerodynamics,general
AE,"Ammunition Examiner, Assistant Engineer",APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AE,"Assistant Engineer, Ammunition Examiner",APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AEBG,Army Engineers Brigade Group,general
AEC,Army Education Certificate,general
AEC,Army Education Corps,general
AF,Admiral of the Fleet,RANKS
AF,Armed Forces,general
AFMC,Armed Forces Medical College,general
AFNS,Armed Forces Nursing Service,general
AFSC,Armed Forces Strategic Command,general
AFV,Armoured Fighting Vehicle,general
afwc,Armed Forces War Course,MILITARY QUALIFICATIONS
AG,Adjutant General,STAFF AND APPTS
Ag S Lt,Acting Sub Lieutenant,RANKS
AGL,Above Ground Level,general
AGL,Automatic Grenade Launcher,general
AGL,Automatic Grenade Launcher,ammunition
AGL,Automatic Grenade Launchers,general
AG’s Branch,Adjutant General’s Branch,STAFF AND APPTS
AH,Attack Helicopter,general
AHAS,Army High Altitude School,general
AHD,Anti-Handling Device,ammunition
AHEAD,Advance Hit Efficiency And Destroy,ammunition
AHF,Army Heritage Foundation,STAFF AND APPTS
AHQ,Air Headquarters,general
AHQ,Air Headquarters,STAFF AND APPTS
AHQ (U) Ckl,Air Headquarters (Units) Chaklala,STAFF AND APPTS
AHQ (U) Ibd,Air Headquarters (Units) Islamabad,STAFF AND APPTS
AHQ (U) Pesh,Air Headquarters (Units) Peshawar,STAFF AND APPTS
AHTS,Army Hatf Training School,general
AHU,Army Health Unit,general
AI,Air Interdiction,general
Air Cdr,Air Commodore,RANKS
Air Chf Mshl,Air Chief Marshal,RANKS
Air Mshl,Air Marshal,RANKS
Air Ops Centre,Air Operations Centre,STAFF AND APPTS
AK,Azad Kashmir Regiment’s Battalion,general
AK,e.g. 5 AK,general
AL POWD,Aluminium Powder,ammunition
ALG,Advance Landing Ground,general
ALIFT,Anti-Lift,ammunition
allce,Allowance,general
almt,Allotment,general
ALO,Air Liaison Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
aloc,Allocate,general
aloc,Allocated,general
aloc,Allocation,general
alt,Altitude,general
altd,Allotted,general
altn,Alternate,general
altn,Alternately,general
altn,alternative,general
AM,Amplitude Modulated,general
AMA,Army Maintenance Area,general
amb,Ambulance,general
AMC,Army Medical Corps,general
amdt,Amendment,general
AMIE (Pak),Associated Member of Institute of the Engineering (Pakistan),MILITARY QUALIFICATIONS
AML,Amatol,ammunition
ammo,Ammunition,general
AMMO,Ammunition,ammunition
AMNL,Ammonal,ammunition
AMNL,Ammonal Banglore Torpedoes 1-1/2 in,TABLE VI – DEMOLITION EXPLOSIVES AND
amph,Amphibian,general
amph,Amphibious,general
AMR,After Mission Report,general
AN,Afternoon,general
anx,Annex,general
AO,Administrative Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
AOB Fund,Army Officers’ Benevolent Fund,general
AOC,Air Officer Commanding,STAFF AND APPTS
AOC Air Def,Air Officer Commanding Air Defence,STAFF AND APPTS
AOD,Away On Duty,general
AOO,Area of Operation,general
AOR,Area of Responsibility,general
AP,Ammunition Point,general
AP,Armour Piercing,general
AP,Armour Piercing (Solid),ammunition
APC,Armour Piercing Capped,ammunition
APC,Armoured Personnel Carrier,general
APCBC,Armour Piercing Capped Ballistic-cap,ammunition
apch,Approach,general
apch,Approached,general
apch,Approaching,general
APDS,Armour Piercing Discarding Sabot,ammunition
APDS 17 PR APDS,SV,TABLE I – TANK AND ANTI-TANK AMMUNITION
APDS 6 PR 7 APDS SV,SV,TABLE I – TANK AND ANTI-TANK AMMUNITION
APERS,Anti-Personnel,ammunition
APFSDS,Armour Piercing Fin Stabilised Discarding Sabot,ammunition
APHE,Armour Piercing High Explosive,ammunition
APIS,Army Photographic Interpretation Section,general
APIU,Army Photographic Interpretation Unit,general
APM,Anti-Personnel Mine,general
APM,Assistant Provost Marshal,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
APO,Army Post Office,general
appl,Application,general
appl,Applied,general
appl,Apply,general
approx,Approximate,general
approx,Approximately,general
approx,Approximation,general
appt,Appoint,general
appt,Appointed,general
appt,Appointment,general
appx,Appendix,general
aprc,Appreciate,general
aprc,Appreciated,general
aprc,Appreciation,general
APS (C),Assistant Private Secretary (Chief),STAFF AND APPTS
APS (V),Assistant Private Secretary (Vice Chief),STAFF AND APPTS
APSACS,Army Public School & College System,general
aqn,Acquisition,general
AR,Aiming Rifle,ammunition
AR,Air Raid,general
ARDE,Armament Research and Development Establishment,STAFF AND APPTS
armd,Armoured,general
armr,Armour,general
armt,Armament,general
arng,Arrange,general
arng,Arranged,general
arng,Arrangement,general
arng,Arranging,general
